Scuola,Meccanografico,Indirizzo,Città,Prov,Regione,Paese,Full Address,Longitudine,Latitudine,Nomerete,SitoScuola,Dominio
Istituto Comprensivo 6 Imola,BOIC84700X,"via Villa Clelia, 18",Imola,(BO),Emilia Romagna,Italia,"via Villa Clelia, 18 Imola (BO) Emilia Romagna Italia ",44.3551365,11.6993037,,https://www.ic6imola.edu.it/,https://bo-ic6imola.medialibrary.it
Istituto Comprensivo Montecchio,REIC835001,"via XXV Aprile, 14",Montecchio Emilia,(RE),Emilia Romagna,Italia,"via XXV Aprile, 14 Montecchio Emilia (RE) Emilia Romagna Italia ",44.6989325,10.4511913,,https://www.icmontecchio.edu.it/,https://re-montecchio.medialibrary.it
Istituto Comprensivo Sassuolo I Centro Est,MOIC83000C,"via Mazzini, 62",Sassuolo,(MO),Emilia Romagna,Italia,"via Mazzini, 62 Sassuolo (MO) Emilia Romagna Italia ",44.54826,10.78962,,https://www.icsassuolo1centroest.edu.it/,https://mo-icsassuolo1ce.medialibrary.it
Istituto Comprensivo Gualtieri,REIC83800C,"via Dante Alighieri, 10",Gualtieri,(RE),Emilia Romagna,Italia,"via Dante Alighieri, 10 Gualtieri (RE) Emilia Romagna Italia ",44.9040557,10.6323072,,https://www.icgualtieri.edu.it/,https://re-icgualtieri.medialibrary.it
"Istituto di Istruzione Superiore ""Nelson Mandela""",REIS014004,"via Morandi, 4",Castelnovo ne' Monti,(RE),Emilia Romagna,Italia,"via Morandi, 4 Castelnovo ne' Monti (RE) Emilia Romagna Italia ",44.43556,10.40329,,https://iiscastelnovonemonti.edu.it/,https://scuola.medialibrary.it
Istituto Comprensivo Centro Storico Rimini,RNIC817007,"largo Antonio Gramsci, 3/4",Rimini,(RN),Emilia Romagna,Italia,"largo Antonio Gramsci, 3/4 Rimini (RN) Emilia Romagna Italia ",44.0592367,12.5733531,,http://www.centrostorico.edu.it/,https://rn-centrostorico.medialibrary.it
Circolo Didattico 6 Rimini,RNEE01500N,"via Giovanni Battista Casti, 13",Rimini,(RN),Emilia Romagna,Italia,"via Giovanni Battista Casti, 13 Rimini (RN) Emilia Romagna Italia ",44.0468929,12.5740197,,http://scuole.rimini.com/cd6rimini.gov.it/,https://rn-cd6.medialibrary.it
Istituto Comprensivo Valle del Montone,FOIC80800L,"viale Marconi, 123",Castrocaro Terme e Terra del Sole,(FC),Emilia Romagna,Italia,"viale Marconi, 123 Castrocaro Terme e Terra del Sole (FC) Emilia Romagna Italia ",44.18676,11.96068,,https://www.icsvalledelmontone.edu.it/,https://fc-icvalledelmontone.medialibrary.it
Istituto Comprensivo di San Pietro in Casale,BOIC80500T,"via Massumatico, 67",San Pietro in Casale,(BO),Emilia Romagna,Italia,"via Massumatico, 67 San Pietro in Casale (BO) Emilia Romagna Italia ",44.702558,11.4005433,,https://icsanpietroincasale.edu.it/,https://bo-icsanpietroincasale.medialibrary.it
"Istituto Comprensivo ""Ing. Carlo Stradi""",MOIC83400Q,"via Boito, 27",Maranello,(MO),Emilia Romagna,Italia,"via Boito, 27 Maranello (MO) Emilia Romagna Italia ",44.53101,10.86888,,https://www.icstradi.edu.it/,https://mo-icstradi.medialibrary.it
