Scuola,Meccanografico,Indirizzo,Città,Prov,Regione,Paese,Full Address,Longitudine,Latitudine,Nomerete,SitoScuola,Dominio
"Liceo Linguistico Statale ""Ilaria Alpi""",FOPM05000N,"piazza Aldo Moro, 76",Cesena,(FC),Emilia Romagna,Italia,"piazza Aldo Moro, 76 Cesena (FC) Emilia Romagna Italia ",44.1444388,12.2478192,,https://www.liceoalpi.edu.it/,https://fo-liceoalpi.medialibrary.it
Liceo Steam International Bologna,BOPSOI5007,"via Nosadella, 47",Bologna,(BO),Emilia Romagna,Italia,"via Nosadella, 47 Bologna (BO) Emilia Romagna Italia ",44.4913211,11.3347502,,https://www.liceosteamemilia.com/,https://liceosteamemilia.medialibrary.it
"Istituto Comprensivo ""Sandro Pertini"" 1",REIC850003,"via Pier Giacinto Terrachini, 20",Reggio Emilia,(RE),Emilia Romagna,Italia,"via Pier Giacinto Terrachini, 20 Reggio Emilia (RE) Emilia Romagna Italia ",44.6898073,10.641389,,https://icpertini1.edu.it/,https://re-pertini1.medialibrary.it
"Liceo Artistico Statale ""Gaetano Chierici""",RESD01000L,"viale Leopoldo Nobili, 1",Reggio Emilia,(RE),Emilia Romagna,Italia,"viale Leopoldo Nobili, 1 Reggio Emilia (RE) Emilia Romagna Italia ",44.7015316,10.6325672,,https://www.liceochierici-re.edu.it/,https://re-chierici.medialibrary.it
Istituto Comprensivo 5 Imola,BOIC84200R,"via Pirandello, 12",Imola,(BO),Emilia Romagna,Italia,"via Pirandello, 12 Imola (BO) Emilia Romagna Italia ",44.35916,11.7132,,https://ic5imola.edu.it/,https://scuola.medialibrary.it
Istituto Comprensivo di Pianello Val Tidone,PCIC81100D,"via Puccini, 29",Pianello Val Tidone,(PC),Emilia Romagna,Italia,"via Puccini, 29 Pianello Val Tidone (PC) Emilia Romagna Italia ",44.9465111,9.4047446,Biblòh!,https://icpianellovt.edu.it/,https://bibloh.medialibrary.it
"Istituto Comprensivo ""Card. Agostino Casaroli""",PCIC81700C,"via Verdi, 6",Castel San Giovanni,(PC),Emilia Romagna,Italia,"via Verdi, 6 Castel San Giovanni (PC) Emilia Romagna Italia ",45.06014,9.43784,Biblòh!,https://www.comprensivo-csg.edu.it/,https://bibloh.medialibrary.it
Istituto OmniComprensivo di Bobbio,PCIC819004,"piazza San Colombano, 5",Bobbio,(PC),Emilia Romagna,Italia,"piazza San Colombano, 5 Bobbio (PC) Emilia Romagna Italia ",44.767745,9.3850549,Biblòh!,https://www.icbobbio.edu.it/aaa/pages/page_blog.php?id=1,https://bibloh.medialibrary.it
"Liceo Scientifico Statale ""Lorenzo Respighi""",PCPS02000T,"piazzale Genova, 1",Piacenza,(PC),Emilia Romagna,Italia,"piazzale Genova, 1 Piacenza (PC) Emilia Romagna Italia ",45.0469349,9.686541,Biblòh!,https://www.liceorespighi.edu.it/,https://bibloh.medialibrary.it
"Istituto Comprensivo ""M.K. Gandhi""",PCIC812009,"via Ungaretti, 7",San Nicolò di Rottofreno,(PC),Emilia Romagna,Italia,"via Ungaretti, 7 San Nicolò di Rottofreno (PC) Emilia Romagna Italia ",45.05685,9.6054,Biblòh!,https://www.icsannicolo.edu.it/,https://bibloh.medialibrary.it
Istituto Comprensivo 6 Modena,MOIC84400A,"via Augusto Valli, 40",Modena,(MO),Emilia Romagna,Italia,"via Augusto Valli, 40 Modena (MO) Emilia Romagna Italia ",44.63159,10.9129525,Biblòh!,https://www.ic6modena.edu.it/,https://bibloh.medialibrary.it
"Istituto Comprensivo ""G. Parini""",PCIC81000N,"via Piave, 24",Podenzano,(PC),Emilia Romagna,Italia,"via Piave, 24 Podenzano (PC) Emilia Romagna Italia ",44.9528222,9.6844047,Biblòh!,https://www.icparinipodenzano.edu.it/aaa/pages/page_details.php?page_id=1,https://bibloh.medialibrary.it
Istituto Comprensivo della Val Nure,PCIC80700T,"via Acerbi, 61",Ponte dell'Olio,(PC),Emilia Romagna,Italia,"via Acerbi, 61 Ponte dell'Olio (PC) Emilia Romagna Italia ",44.86762,9.64433,Biblòh!,https://icdellavalnure.edu.it/,https://bibloh.medialibrary.it
"Scuola Statale Secondaria di Primo Grado ""Dante Alighieri-Giosuè Carducci""",PCMM00200Q,"via Piatti, 9",Piacenza,(PC),Emilia Romagna,Italia,"via Piatti, 9 Piacenza (PC) Emilia Romagna Italia ",45.04202,9.70462,Biblòh!,https://www.dante-carducci.edu.it/,https://bibloh.medialibrary.it
"Istituto Statale ""A. Tramello-B. Cassinari""",PCIS007002,"via Negri, 45",Piacenza,(PC),Emilia Romagna,Italia,"via Negri, 45 Piacenza (PC) Emilia Romagna Italia ",45.04202,9.70462,Biblòh!,https://www.tramellocassinari.edu.it/,https://bibloh.medialibrary.it
Istituto Comprensivo Parma Centro,PRIC82700X,"piazzale Santafiora, 9",Parma,(PR),Emilia Romagna,Italia,"piazzale Santafiora, 9 Parma (PR) Emilia Romagna Italia ",44.7976614,10.3272488,Biblòh!,http://www.icparmacentro.it/,https://bibloh.medialibrary.it
"Istituto di Istruzione Superiore ""Belluzzi-Fioravanti""",BOIS02300G,"via Giovanni Domenico Cassini, 3",Bologna,(BO),Emilia Romagna,Italia,"via Giovanni Domenico Cassini, 3 Bologna (BO) Emilia Romagna Italia ",44.4897743,11.2852544,Leggere per vivere,https://www.belluzzifioravanti.it/,https://lpv.medialibrary.it
"Liceo Ginnasio ""Luigi Galvani""",BOPC02000A,"via Castiglione, 38",Bologna,(BO),Emilia Romagna,Italia,"via Castiglione, 38 Bologna (BO) Emilia Romagna Italia ",44.4892351,11.3475049,Leggere per vivere,https://www.liceogalvani.edu.it/,https://lpv.medialibrary.it
Istituto Comprensivo Statale 11 Bologna,BOIC854003,"via Filippo Beroaldo, 34",Bologna,(BO),Emilia Romagna,Italia,"via Filippo Beroaldo, 34 Bologna (BO) Emilia Romagna Italia ",44.5004283,11.3723377,Leggere per vivere,http://www.ic11bo.it/,https://lpv.medialibrary.it
"Liceo Scientifico Statale ""Aldo Moro""",REPS03000B,"via XX Settembre, 5",Reggio Emilia,(RE),Emilia Romagna,Italia,"via XX Settembre, 5 Reggio Emilia (RE) Emilia Romagna Italia ",44.7092254,10.6227442,Leggere per vivere,https://liceomoro.edu.it/,https://lpv.medialibrary.it
